Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,211.529999,212.339996,211.500000,211.679993,195.640747,60974800
2016-06-08,211.839996,212.520004,211.690002,212.369995,196.278503,66170900
2016-06-09,211.509995,212.220001,211.190002,212.080002,196.010452,73786900
2016-06-10,210.460007,210.860001,209.429993,210.070007,194.152771,113829200
2016-06-13,209.360001,210.369995,208.350006,208.449997,192.655502,117751200
2016-06-14,208.000000,208.740005,206.919998,208.039993,192.276550,125059300
2016-06-15,208.039993,209.360001,207.529999,207.750000,192.008530,109124500
2016-06-16,207.750000,208.570007,205.589996,208.369995,192.581558,149533100
2016-06-17,207.169998,207.199997,205.750000,206.520004,191.864365,117055700
2016-06-20,208.820007,209.610001,207.750000,207.850006,193.099930,82789600
2016-06-21,208.300003,208.919998,207.779999,208.440002,193.648132,72461700
2016-06-22,208.649994,209.500000,207.929993,208.100006,193.332230,95560500
2016-06-23,209.809998,210.869995,209.270004,210.809998,195.849930,102731400
2016-06-24,203.630005,210.850006,202.720001,203.240005,188.817093,333444400
2016-06-27,201.589996,201.600006,198.649994,199.600006,185.435425,230775800
2016-06-28,201.479996,203.229996,201.119995,203.199997,188.779968,159382400
2016-06-29,204.839996,206.929993,204.720001,206.660004,191.994431,137328600
2016-06-30,207.210007,209.539993,206.559998,209.479996,194.614304,165021900
2016-07-01,209.479996,210.490005,209.289993,209.919998,195.023087,106055300
2016-07-05,208.949997,209.080002,207.710007,208.410004,193.620224,109803700
2016-07-06,207.830002,209.800003,207.059998,209.660004,194.781509,96021500
2016-07-07,209.869995,210.649994,208.630005,209.529999,194.660767,85593800
2016-07-08,211.050003,212.940002,210.779999,212.649994,197.559341,133971000
2016-07-11,213.190002,214.070007,212.949997,213.399994,198.256134,73633900
2016-07-12,214.529999,215.300003,213.429993,214.949997,199.696121,101275600
2016-07-13,215.440002,215.449997,214.350006,214.919998,199.668243,87324100
2016-07-14,216.399994,216.669998,215.660004,216.119995,200.783112,91230900
2016-07-15,216.779999,217.009995,215.309998,215.830002,200.513687,107155400
2016-07-18,215.970001,216.600006,215.669998,216.410004,201.052505,58725900
2016-07-19,215.919998,216.229996,215.630005,216.190002,200.848099,54345700
2016-07-20,216.190002,217.369995,216.190002,217.089996,201.684250,58159500
2016-07-21,216.960007,217.220001,215.750000,216.270004,200.922470,67777300
2016-07-22,216.410004,217.300003,216.100006,217.240005,201.823639,62787500
2016-07-25,217.000000,217.059998,215.970001,216.649994,201.275482,55873100
2016-07-26,216.529999,217.169998,215.759995,216.750000,201.368347,70080500
2016-07-27,217.190002,217.270004,215.619995,216.520004,201.154709,84083900
2016-07-28,216.289993,217.110001,215.750000,216.770004,201.386963,65035700
2016-07-29,216.460007,217.539993,216.130005,217.119995,201.712112,79519400
2016-08-01,217.190002,217.649994,216.410004,216.940002,201.544922,73311400
2016-08-02,216.649994,216.830002,214.570007,215.550003,200.253510,92295500
2016-08-03,215.479996,216.250000,215.130005,216.179993,200.838837,53993600
2016-08-04,216.309998,216.779999,214.250000,216.410004,201.052505,46585500
2016-08-05,216.410004,218.229996,216.410004,218.179993,202.696899,71892200
2016-08-08,218.399994,218.520004,217.740005,218.050003,202.576111,39906500
2016-08-09,218.130005,218.759995,217.800003,218.179993,202.696899,51251700
2016-08-10,218.309998,218.399994,217.229996,217.639999,202.195236,57941100
2016-08-11,218.259995,218.940002,217.949997,218.649994,203.133560,72504300
2016-08-12,218.289993,218.710007,217.990005,218.460007,202.957031,61313500
2016-08-15,218.889999,219.500000,218.880005,219.089996,203.542328,49813500
2016-08-16,218.600006,218.679993,217.960007,217.960007,202.492538,53213600
2016-08-17,218.000000,218.529999,217.020004,218.369995,202.873413,75134300
2016-08-18,218.339996,218.899994,218.210007,218.860001,203.328659,52989300
2016-08-19,218.309998,218.750000,217.740005,218.539993,203.031342,75443000
2016-08-22,218.259995,218.800003,217.830002,218.529999,203.022064,61368800
2016-08-23,219.250000,219.600006,218.899994,218.970001,203.430847,53399200
2016-08-24,218.800003,218.910004,217.360001,217.850006,202.390350,71728900
2016-08-25,217.399994,218.190002,217.220001,217.699997,202.250961,69224800
2016-08-26,217.919998,219.119995,216.250000,217.289993,201.870071,122506300
2016-08-29,217.440002,218.669998,217.399994,218.360001,202.864105,70502200
